cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
HRS,M0,6,7,2002,2004,2006,2,2,TRUE,primary_2to3_year,respondent_weighted,7266,7263,695,0.0920079363282125,0.163331749082825,0.664613699653782,0.0859292175412316,-0.672175553663463,1.29971066032748
HRS,M0,7,8,2004,2006,2008,2,2,TRUE,primary_2to3_year,respondent_weighted,7110,7106,683,0.0895871290167544,0.162867436731383,0.630948454462532,0.0854945069587868,-0.699731836791954,1.03292200206148
HRS,M0,8,9,2006,2008,2010,2,2,TRUE,primary_2to3_year,respondent_weighted,6877,6876,756,0.101077278388496,0.161053049876829,0.644065837975806,0.0912394085652324,-0.55021115337988,1.17595063515393
HRS,M0,9,10,2008,2010,2012,2,2,TRUE,primary_2to3_year,respondent_weighted,6905,6901,598,0.0773911502963002,0.162922966491986,0.615813704485803,0.0783907521704296,-0.863262137562515,0.944253480763045
HRS,M0,10,11,2010,2012,2014,2,2,TRUE,primary_2to3_year,respondent_weighted,7307,7300,700,0.084668834784631,0.159385580717665,0.626253521516964,0.0820171451908414,-0.737033186430211,0.989248050919059
HRS,M0,11,12,2012,2014,2016,2,2,TRUE,primary_2to3_year,respondent_weighted,7048,7043,690,0.0829812049847908,0.157823658962301,0.637447700900152,0.0798463773040829,-0.746329055848616,1.14547517843748
HRS,M0,12,13,2014,2016,2018,2,2,TRUE,primary_2to3_year,respondent_weighted,6564,6560,569,0.0736738851661433,0.157612816027289,0.625226105756689,0.0744498542875111,-0.875888215365053,1.05811503036985
HRS,M0,13,14,2016,2018,2020,2,2,TRUE,primary_2to3_year,respondent_weighted,6360,6355,553,0.0714905115788251,0.156614193569444,0.641544219101126,0.0723035696559061,-0.900467170749197,1.2015598629023
HRS,M0,14,15,2018,2020,2022,2,2,TRUE,primary_2to3_year,respondent_weighted,5757,5746,547,0.0765500840599474,0.158643112486334,0.626634006832942,0.0763627931364504,-0.840566035426184,1.10072235192356
HRS,M0,3,4,1996,1998,2000,2,2,TRUE,primary_2to3_year,respondent_weighted,5472,5462,502,0.0944120709078168,0.16521831537798,0.654184487826982,0.0876638578545645,-0.658361600202671,1.22498275181489
